,Unnamed: 0,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_num
0,0.0,RB50392,Washington,,Master,793690.26,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934,2.0
1,1.0,QZ44356,Arizona,F,Bachelor,697953.59,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935,1.0
2,2.0,AI49188,Nevada,F,Bachelor,1288743.17,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247,1.0
3,3.0,WW63253,California,M,Bachelor,764586.18,0.0,106.0,0.0,Corporate Auto,SUV,529.881344,0.0
4,4.0,GA49547,Washington,M,High School or Below,536307.65,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323,0.0
5,5.0,OC83172,Oregon,F,Bachelor,825629.78,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042,1.0
6,6.0,XZ87318,Oregon,F,College,538089.86,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6,1.0
7,7.0,CF85061,Arizona,M,Master,721610.03,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968,0.0
8,8.0,DY87989,Oregon,M,Bachelor,2412750.4,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2,0.0
9,9.0,BQ94931,Oregon,F,College,738817.81,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834,1.0
10,10.0,SX51350,California,M,College,473899.2,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4,0.0
11,11.0,VQ65197,California,,College,819719.71,0.0,110.0,0.0,Personal Auto,SUV,528.0,2.0
12,12.0,DP39365,California,,Master,879879.7,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737,2.0
13,13.0,SJ95423,Arizona,,High School or Below,881901.89,99845.0,110.0,1.0,Corporate Auto,SUV,528.0,2.0
14,14.0,IL66569,California,,College,538443.17,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132,2.0
15,15.0,BW63560,Oregon,,Bachelor,746313.94,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271,2.0
16,16.0,FV94802,Nevada,,High School or Below,256686.78,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098,2.0
17,17.0,OE15005,California,,College,394524.16,28855.0,101.0,0.0,Personal Auto,SUV,647.442031,2.0
18,18.0,WC83389,Oregon,,College,571033.31,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664,2.0
